node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,geometry,osm_node_id,railway,level_crossing,access,description,,
213,,-87.610367,41.640665,,,0,"POINT (-87.610367 41.640665)",720612012,,,,,,
214,,-87.610112,41.640677,,,0,"POINT (-87.610112 41.640677)",720612015,switch,,,,,
215,,-87.616832,41.640634,,,0,"POINT (-87.616832 41.640634)",720612022,switch,,,,,
216,,-87.615959,41.640617,,,0,"POINT (-87.615959 41.640617)",720612023,,,,,,
217,,-87.615299,41.640582,,,0,"POINT (-87.615299 41.640582)",720612024,,,,,,
218,,-87.614976,41.640553,,,0,"POINT (-87.614976 41.640553)",720612025,,,,,,
219,,-87.614708,41.640515,,,0,"POINT (-87.614708 41.640515)",720612026,,,,,,
220,,-87.614517,41.640476,,,0,"POINT (-87.614517 41.640476)",720612027,,,,,,
221,,-87.614331,41.640423,,,0,"POINT (-87.614331 41.640423)",720612028,,,,,,
222,,-87.614151,41.640363,,,0,"POINT (-87.614151 41.640363)",720612029,,,,,,
223,,-87.613985,41.640296,,,0,"POINT (-87.613985 41.640296)",720612030,,,,,,
224,,-87.613805,41.640211,,,0,"POINT (-87.613805 41.640211)",720612031,,,,,,
225,,-87.613640,41.640124,,,0,"POINT (-87.613640 41.640124)",720612032,,,,,,
226,,-87.613487,41.640029,,,0,"POINT (-87.613487 41.640029)",720612033,,,,,,
227,,-87.613340,41.639916,,,0,"POINT (-87.613340 41.639916)",720612034,,,,,,
228,,-87.613184,41.639780,,,0,"POINT (-87.613184 41.639780)",720612035,,,,,,
229,,-87.613051,41.639653,,,0,"POINT (-87.613051 41.639653)",720612036,,,,,,
230,,-87.612938,41.639518,,,0,"POINT (-87.612938 41.639518)",720612037,,,,,,
231,,-87.612826,41.639376,,,0,"POINT (-87.612826 41.639376)",720612038,,,,,,
232,,-87.612224,41.642612,,,0,"POINT (-87.612224 41.642612)",720612195,,,,,,
233,,-87.612208,41.642440,,,0,"POINT (-87.612208 41.642440)",720612196,,,,,,
234,,-87.612180,41.642214,,,0,"POINT (-87.612180 41.642214)",720612197,,,,,,
235,,-87.612154,41.642088,,,0,"POINT (-87.612154 41.642088)",720612198,,,,,,
236,,-87.612122,41.641977,,,0,"POINT (-87.612122 41.641977)",720612199,,,,,,
237,,-87.612065,41.641843,,,0,"POINT (-87.612065 41.641843)",720612200,,,,,,
238,,-87.611991,41.641715,,,0,"POINT (-87.611991 41.641715)",720612201,,,,,,
239,,-87.611913,41.641604,,,0,"POINT (-87.611913 41.641604)",720612202,,,,,,
240,,-87.611812,41.641492,,,0,"POINT (-87.611812 41.641492)",720612203,,,,,,
241,,-87.611696,41.641381,,,0,"POINT (-87.611696 41.641381)",720612204,,,,,,
242,,-87.611552,41.641273,,,0,"POINT (-87.611552 41.641273)",720612205,,,,,,
243,,-87.611423,41.641190,,,0,"POINT (-87.611423 41.641190)",720612206,,,,,,
244,,-87.611279,41.641112,,,0,"POINT (-87.611279 41.641112)",720612207,,,,,,
245,,-87.611116,41.641041,,,0,"POINT (-87.611116 41.641041)",720612208,,,,,,
246,,-87.610943,41.640982,,,0,"POINT (-87.610943 41.640982)",720612209,,,,,,
247,,-87.610773,41.640936,,,0,"POINT (-87.610773 41.640936)",720612210,,,,,,
248,,-87.610611,41.640903,,,0,"POINT (-87.610611 41.640903)",720612211,,,,,,
249,,-87.610424,41.640880,,,0,"POINT (-87.610424 41.640880)",720612212,,,,,,
250,,-87.610247,41.640872,,,0,"POINT (-87.610247 41.640872)",720612213,,,,,,
251,,-87.612817,41.640736,,,0,"POINT (-87.612817 41.640736)",720612340,,,,,,
252,,-87.612601,41.640719,,,0,"POINT (-87.612601 41.640719)",720612341,,,,,,
253,,-87.612366,41.640710,,,0,"POINT (-87.612366 41.640710)",720612342,switch,,,,,
254,,-87.612244,41.639580,,,0,"POINT (-87.612244 41.639580)",720612404,,,,,,
255,,-87.612239,41.640179,,,0,"POINT (-87.612239 41.640179)",720612405,,,,,,
256,,-87.612232,41.641294,,,0,"POINT (-87.612232 41.641294)",720612406,,,,,,
257,,-87.612228,41.641963,,,0,"POINT (-87.612228 41.641963)",720612407,,,,,,
258,,-87.612283,41.642190,,,0,"POINT (-87.612283 41.642190)",720612421,,,,,,
259,,-87.612292,41.641428,,,0,"POINT (-87.612292 41.641428)",720612422,,,,,,
260,,-87.612304,41.640180,,,0,"POINT (-87.612304 41.640180)",720612423,,,,,,
261,,-87.620946,41.650150,,,0,"POINT (-87.620946 41.650150)",720867242,,,,,,
262,,-87.618632,41.645948,,,0,"POINT (-87.618632 41.645948)",720867258,switch,,,,,
263,,-87.618915,41.646204,,,0,"POINT (-87.618915 41.646204)",720867263,,,,,,
264,,-87.619143,41.646396,,,0,"POINT (-87.619143 41.646396)",720867266,,,,,,
265,,-87.619359,41.646587,,,0,"POINT (-87.619359 41.646587)",720867268,switch,,,,,
266,,-87.620216,41.647444,,,0,"POINT (-87.620216 41.647444)",720867277,switch,,,,,
267,,-87.620102,41.647334,,,0,"POINT (-87.620102 41.647334)",720867280,,,,,,
268,,-87.619954,41.647180,,,0,"POINT (-87.619954 41.647180)",720867284,,,,,,
269,,-87.619846,41.647059,,,0,"POINT (-87.619846 41.647059)",720867286,switch,,,,,
270,,-87.619098,41.646394,,,0,"POINT (-87.619098 41.646394)",720867291,switch,,,,,
271,,-87.619222,41.646526,,,0,"POINT (-87.619222 41.646526)",720867294,,,,,,
272,,-87.619297,41.646615,,,0,"POINT (-87.619297 41.646615)",720867296,,,,,,
273,,-87.619350,41.646696,,,0,"POINT (-87.619350 41.646696)",720867299,,,,,,
274,,-87.619387,41.646788,,,0,"POINT (-87.619387 41.646788)",720867301,level_crossing,,,,,
275,,-87.619420,41.646882,,,0,"POINT (-87.619420 41.646882)",720867304,,,,,,
276,,-87.619434,41.646979,,,0,"POINT (-87.619434 41.646979)",720867307,,,,,,
277,,-87.619435,41.647088,,,0,"POINT (-87.619435 41.647088)",720867316,,,,,,
278,,-87.619424,41.647909,,,0,"POINT (-87.619424 41.647909)",720867319,level_crossing,,,,,
279,,-87.619420,41.648136,,,0,"POINT (-87.619420 41.648136)",720867322,,,,,,
280,,-87.619411,41.648216,,,0,"POINT (-87.619411 41.648216)",720867325,,,,,,
281,,-87.619393,41.648278,,,0,"POINT (-87.619393 41.648278)",720867328,,,,,,
282,,-87.619369,41.648340,,,0,"POINT (-87.619369 41.648340)",720867330,,,,,,
283,,-87.619310,41.648505,,,0,"POINT (-87.619310 41.648505)",720867333,,,,,,
284,,-87.619300,41.648569,,,0,"POINT (-87.619300 41.648569)",720867337,,,,,,
285,,-87.619294,41.648635,,,0,"POINT (-87.619294 41.648635)",720867340,,,,,,
286,,-87.619292,41.648818,,,0,"POINT (-87.619292 41.648818)",720867343,,,,,,
287,,-87.619171,41.648606,,,0,"POINT (-87.619171 41.648606)",720867400,,,,,,
288,,-87.619249,41.648531,,,0,"POINT (-87.619249 41.648531)",720867402,,,,,,
289,,-87.619310,41.648450,,,0,"POINT (-87.619310 41.648450)",720867404,,,,,,
290,,-87.621974,41.648490,,,0,"POINT (-87.621974 41.648490)",720867428,,,,,,
291,,-87.621642,41.648315,,,0,"POINT (-87.621642 41.648315)",720867436,switch,,,,,
292,,-87.620930,41.647921,,,0,"POINT (-87.620930 41.647921)",720867438,,,,,,
293,,-87.620744,41.647795,,,0,"POINT (-87.620744 41.647795)",720867441,,,,,,
294,,-87.620343,41.647496,,,0,"POINT (-87.620343 41.647496)",720867447,,,,,,
