name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,3087,41626016,,,,,residential,0,-111.854179,33.573521,,,
,3088,42551727,,,,,residential,0,-111.8522065,33.5736738,,,
,3089,42551733,turning_circle,,,,residential,2,-111.849709,33.574614,,,
,3090,42558848,turning_circle,,,,residential,2,-111.8041205,33.5945117,,,
,3091,9181160381,,,,,residential,0,-111.8140224,33.5951567,,,
,3092,9181160380,,,,,residential,0,-111.8139673,33.5951557,,,
,3093,9181160389,,,,,residential,0,-111.8137085,33.5951706,,,
,3094,41592867,,,,,residential,0,-111.8419305,33.5789426,,,
,3095,2097457482,,,,,residential,0,-111.8520626,33.5806868,,,
,3096,42562253,,,,,residential,0,-111.8521897,33.5806641,,,
,3097,5088091833,,,,,residential,0,-111.8521711,33.5805781,,,
,3098,5088091832,,,,,residential,0,-111.8520424,33.5805928,,,
,3099,42562268,turning_circle,,,,residential,2,-111.8464437,33.5792615,,,
,3100,256988435,turning_circle,,,,residential,2,-111.8903296,33.615099,,,
,3101,42571585,,,,,residential,0,-111.8870795,33.6164539,,,
,3102,42572244,turning_circle,,,,residential,2,-111.8190975,33.5739725,,,
,3103,9181179918,,,,,residential,0,-111.7849586,33.5933821,,,
,3104,9181179921,,,,,residential,0,-111.7855762,33.5932374,,,
,3105,41638146,,,,,residential,0,-111.780252,33.5937697,,,
,3106,42574925,turning_circle,,,,residential,2,-111.7789511,33.5947992,,,
,3107,42576103,,,,,residential,0,-111.8685186,33.6162356,,,
,3108,42576112,turning_circle,,,,residential,2,-111.8680614,33.5961951,,,
,3109,2489751709,,,,,residential,0,-111.8680546,33.5967591,,,
,3110,41758803,,,,,residential,0,-111.868191,33.5897678,,,
,3111,41854630,,,,,residential,0,-111.839967,33.6316864,,,
,3112,42430025,,,,,residential,0,-111.8408493,33.5962425,,,
,3113,358463234,turning_circle,,,,residential,2,-111.8411936,33.5868904,,,
,3114,42578820,,,,,residential,0,-111.8398112,33.6322353,,,
,3115,3452259759,,,,,residential,2,-111.8504531,33.6339533,,,
,3116,349000040,,,,,residential,2,-111.8483144,33.6339782,,,
,3117,42582501,turning_circle,,,,residential,2,-111.8678996,33.6047259,,,
